Date,Open,High,Low,Close,Adj Close,Volume
2015-07-31,0.674700,3.000000,0.150000,1.310000,1.310000,131122
2015-08-31,1.310000,1.400000,0.500000,0.713700,0.713700,50299
2015-09-30,0.713700,1.340000,0.411000,0.867600,0.867600,36082
2015-11-01,0.867600,1.080000,0.661200,0.880000,0.880000,88519
2015-12-01,0.880000,1.100000,0.761000,0.948800,0.948800,88017
2016-01-01,0.948800,2.880000,0.918400,2.200000,2.200000,716731
2016-02-01,2.200000,6.640000,2.000000,6.350000,6.350000,3998215
2016-03-01,6.350000,15.180000,6.250000,11.410000,11.410000,25491987
2016-03-31,11.410000,11.890000,7.000000,8.830000,8.830000,15449175
2016-04-30,8.830000,15.010000,8.420000,13.850000,13.850000,48340064
2016-05-31,13.850000,21.389999,9.940000,12.400000,12.400000,180215921
2016-06-30,12.400000,15.270000,8.980000,11.860000,11.860000,132873607
2016-07-31,11.860000,12.670000,7.030000,11.550000,11.550000,64836045
2016-08-31,11.550000,14.840000,11.290000,13.240000,13.240000,47429450
2016-09-30,13.240000,13.560000,9.420000,10.910000,10.910000,37538534
2016-11-01,10.910000,11.210000,7.800000,8.590000,8.590000,30712401
2016-12-01,8.590000,8.900000,5.970000,8.050000,8.050000,39419182
2017-01-01,8.050000,11.630000,8.020000,10.710000,10.710000,64864710
2017-02-01,10.710000,16.750000,10.530000,16.070000,16.070000,115725515
2017-03-01,16.070000,54.880001,15.680000,49.910000,49.910000,1081770172
2017-03-31,49.910000,81.260002,40.990002,79.830002,79.830002,638556238
2017-04-30,79.830002,233.919998,62.740002,228.639999,228.639999,3073123952
2017-05-31,228.639999,417.209991,138.500000,280.679993,280.679993,6638635539
2017-06-30,280.679993,293.299988,132.639999,201.330002,201.330002,6960572706
2017-07-31,201.330002,390.640015,201.270004,388.329987,388.329987,5634143963
2017-08-31,388.329987,395.299988,200.750000,302.769989,302.769989,6640801460
2017-09-30,302.769989,352.390015,274.959991,303.640015,303.640015,3151900946
2017-11-01,303.630005,515.440002,276.890015,434.850006,434.850006,6762582080
2017-12-01,435.309998,868.890015,404.160004,741.130005,741.130005,16726551234
2018-01-01,741.090027,1422.859985,724.330017,1111.310059,1111.310059,24735930778
2018-02-01,1111.290039,1155.579956,564.190002,851.500000,851.500000,14522364153
2018-03-01,851.500000,880.210022,364.989990,394.070007,394.070007,8206688276
2018-03-31,394.070007,711.640015,359.220001,670.039978,670.039978,8237554969
2018-04-30,670.039978,834.299988,500.809998,577.229980,577.229980,10360576521
2018-05-31,577.229980,628.059998,405.010010,453.420013,453.420013,6274219894
2018-06-30,453.410004,515.140015,418.019989,431.989990,431.989990,4747032374
2018-07-31,431.970001,435.630005,250.449997,281.660004,281.660004,4604339460
2018-08-31,281.649994,302.329987,167.600006,232.600006,232.600006,5718767794
2018-09-30,232.600006,235.419998,186.880005,197.850006,197.850006,2591262876
2018-11-01,197.850006,223.710007,100.769997,112.870003,112.870003,3906305940
2018-12-01,112.870003,121.330002,82.050003,95.440002,95.440002,1513483350
